parent;type;Attribute 1 Name;Attribute 1 Value(s);Attribute 1 Visible;Attribute 2 Name;Attribute 2 Value(s);Attribute 2 Visible;Attribute 3 Name;Attribute 3 Value(s);Attribute 3 Visible;Attribute 4 Name;Attribute 4 Value(s);Attribute 4 Visible;Attribute 5 Name;Attribute 5 Value(s);Attribute 5 Visible;Attribute 6 Name;Attribute 6 Value(s);Attribute 6 Visible;Attribute 7 Name;Attribute 7 Value(s);Attribute 7 Visible;Attribute 8 Name;Attribute 8 Value(s);Attribute 8 Visible;Attribute 9 Name;Attribute 9 Value(s);Attribute 9 Visible;Attribute 10 Name;Attribute 10 Value(s);Attribute 10 Visible;Attribute 11 Name;Attribute 11 Value(s);Attribute 11 Visible;Имя;Цена;Images;Categories;SKU;Tags;Tax class;В наличии?
88003;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;;0;Состав;;0;Размерность;;0;Длина;;0;Страна;;0;Оптовая цена;;0;Стиль;;0;Блуза;;https://sun9-84.userapi.com/sun9-29/impg/jBCl_svrVIxC9UIGzfo1cCjuUYzjDshkvQH-AA/FKX0AeoRefk.jpg?size=483x604&amp&quality=96&amp&sign=505b8804f77b5fdaf3313fe8c2ca5684&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Блузки и кофточки;88003;Блуза;УСН 6%;1
88003;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;88004;;;1
88003;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;88005;;;1
88003;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;88006;;;1
88003;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;88007;;;1
75664;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;;0;Состав;;0;Размерность;;0;Длина;;0;Страна;;0;Оптовая цена;;0;Стиль;;0;Блуза;;https://sun9-84.userapi.com/sun9-87/impg/bT0vCrQGoK5xEaf_WHmN2q5SPForuyE30UAqMw/OG8IQP1GKjo.jpg?size=485x604&amp&quality=96&amp&sign=a23790935da1580b7f6a8edb21f6030b&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Блузки и кофточки;75664;Блуза;УСН 6%;1
75664;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;75665;;;1
75664;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;75666;;;1
75664;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;75667;;;1
75664;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;75668;;;1
86967;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;;0;Состав;;0;Размерность;;0;Длина;;0;Страна;;0;Оптовая цена;;0;Стиль;;0;Блуза;;https://sun9-84.userapi.com/sun9-51/impg/56SvbiHL6K1UYCW1RQWX-fQfBi6b4YIAXW713Q/u7fJKIerB24.jpg?size=490x604&amp&quality=96&amp&sign=239a8aab05fd33bf0590aa4680f6a16c&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Блузки и кофточки;86967;Блуза;УСН 6%;1
86967;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;86968;;;1
86967;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;86969;;;1
86967;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;86970;;;1
86967;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;86971;;;1
